name,main_category,image,actual_price
"TE-A-ME Purify Green Tea, 100 Tea Bags | Green tea bags 100 pcs | Green Tea | Green Tea 100 Tea Bag Pack",grocery & gourmet foods,https://m.media-amazon.com/images/I/71fNICQ+fJL._AC_UL320_.jpg,325.0
Bevzilla 200 Gram 100% Arabica Instant Classic Strong Coffee Powder | Premium Coffee| Strong Coffee| Classic Coffee| Espre...,grocery & gourmet foods,https://m.media-amazon.com/images/I/71xwcJP81WL._AC_UL320_.jpg,799.0
Tata Tea Premium | Desh Ki Chai | Unique Blend Crafted For Chai Lovers Across India | Black Tea | 500g,grocery & gourmet foods,https://m.media-amazon.com/images/I/61z40Qqq-eL._AC_UL320_.jpg,255.0
"Nescafe Gold Rich and Smooth Coffee Powder, 95g Glass Jar (Weight May Vary Upwards)",grocery & gourmet foods,https://m.media-amazon.com/images/I/61H7ZKZXK+L._AC_UL320_.jpg,520.0
"Davidoff Café Espresso 57 Intense Instant Ground Coffee, 100 g Bottle, Glass Bottle",grocery & gourmet foods,https://m.media-amazon.com/images/I/61stTyerhLL._AC_UL320_.jpg,650.0
"Mala's Fruit Mocktail Syrup, Blue Curacao Mocktail, 750ml",grocery & gourmet foods,https://m.media-amazon.com/images/I/714g+rBhGFL._AC_UL320_.jpg,299.0
Real Fruit Power Mixed Fruit Juice 1L| No Added Preservatives,grocery & gourmet foods,https://m.media-amazon.com/images/I/718s5Hnzt-L._AC_UL320_.jpg,125.0
"B Natural Mixed Fruit, Goodness of fiber, Rich in Vitamin C & E, Made with 100% Indian Fruit and 0% Concentrate, 1 litre (...",grocery & gourmet foods,https://m.media-amazon.com/images/I/91Zz6QbhjdL._AC_UL320_.jpg,260.0
Bru Instant | Aromatic Coffee From South Indian Plantations | Premium Blend of Robusta & Arabica Beans For a Rich Coffee E...,grocery & gourmet foods,https://m.media-amazon.com/images/I/612gMtYy6aL._AC_UL320_.jpg,420.0
"Coca-Cola Zero Sugar, No Calories Soft Drink Can, 300 ml",grocery & gourmet foods,https://m.media-amazon.com/images/I/51JEkuKPiSL._AC_UL320_.jpg,40.0
"Wagh Bakri Instant Tea Premix Combo, 168g",grocery & gourmet foods,https://m.media-amazon.com/images/I/51Oxe3AJFuL._AC_UL320_.jpg,160.0
"B Natural Guava Juice, Goodness of Fiber, 1 Litre",grocery & gourmet foods,https://m.media-amazon.com/images/I/81liZYjOoqL._AC_UL320_.jpg,130.0
"Nescafé Classic Black Roast Instant Coffee, Rich & Dark - 95g /100 g Dawn Jar | 100% Pure Soluble Coffee Powder (Weight Ma...",grocery & gourmet foods,https://m.media-amazon.com/images/I/71k5TxCJkvL._AC_UL320_.jpg,370.0
JAIN SHIKANJI | INSTANT JAIN SHIKANJI | PACK OF 1,grocery & gourmet foods,https://m.media-amazon.com/images/I/511ez-L9ywL._AC_UL320_.jpg,150.0
"Nescafe Sunrise Sachet, 50g",grocery & gourmet foods,https://m.media-amazon.com/images/I/71Un8MRH2ZL._AC_UL320_.jpg,105.0
"Nescafé Classic Instant Ground Coffee, 50g Pouch",grocery & gourmet foods,https://m.media-amazon.com/images/I/71T7-cRgyqL._AC_UL320_.jpg,145.0
"Tata Tea Premium Teaveda | Premium Assam Tea Leaves | With Goodness of Time-tested Indian Ingredients -Tulsi, Elaichi, Gin...",grocery & gourmet foods,https://m.media-amazon.com/images/I/619o61uLbgL._AC_UL320_.jpg,145.0
Dabur Hommade Lemoneez- Goodness of 33 lemons - 250 ml,grocery & gourmet foods,https://m.media-amazon.com/images/I/71cdjcxCeAL._AC_UL320_.jpg,80.0
Herbalife Nutrition Natural Tulsi Afresh Energy Drink Mix,grocery & gourmet foods,https://m.media-amazon.com/images/I/511W3uA6yzL._AC_UL320_.jpg,848.0
"Thums Up Soft Drink PET Bottle, 2.25 L",grocery & gourmet foods,https://m.media-amazon.com/images/I/61tiR5teCjL._AC_UL320_.jpg,85.0
"Brooke Bond, Red Label, 100g",grocery & gourmet foods,https://m.media-amazon.com/images/I/51+iVkS0ZVL._AC_UL320_.jpg,30.0
Goodricke Roasted Darjeeling Tea - 250 gm | Whole Leaf Tea | 100% Pure & Original Darjeeling Long Leaf Tea | Flavoury Gold...,grocery & gourmet foods,https://m.media-amazon.com/images/I/61jbZ93NhML._AC_UL320_.jpg,280.0
Glucon-D Instant Energy Health Drink Tangy Orange - 450Gm Refill,grocery & gourmet foods,https://m.media-amazon.com/images/I/71Qgc4wDwVL._AC_UL320_.jpg,173.0
FANTA®️ Orange Flavored Cold Drink | Soft Drink with Added Orange Flavour | Delicious Orangey Flavor| Recyclable PET Bottl...,grocery & gourmet foods,https://m.media-amazon.com/images/I/51C8U7H-+6L._AC_UL320_.jpg,40.0
"Raw Pressery Almond Milk Plain, 1000 ml| Unsweetened",grocery & gourmet foods,https://m.media-amazon.com/images/I/71IYYsNMUhL._AC_UL320_.jpg,325.0
"B Natural Mango Juice, Goodness of fiber, Made with choicest Mangoes, 1 litre (Pack of 2)",grocery & gourmet foods,https://m.media-amazon.com/images/I/91Xt+3+hwxS._AC_UL320_.jpg,220.0
NUTRILITE Kids Drink - Chocolate Flavor With Essential Vitamins & Minerals (500 Gms),grocery & gourmet foods,https://m.media-amazon.com/images/I/91uhDSpCUPL._AC_UL320_.jpg,1197.0
"Paper Boat Swing Zesty Pomegranate Juice, Enriched with Vitamin D, No Gmos, 600 ml",grocery & gourmet foods,https://m.media-amazon.com/images/I/61kpiXhTgcL._AC_UL320_.jpg,40.0
"Brooke Bond Red Label Tea Leaf, 1kg",grocery & gourmet foods,https://m.media-amazon.com/images/I/51kjP3W+GjL._AC_UL320_.jpg,590.0
Bevzilla 200 Gram Dark Wish Dark Roast 100% Arabica Strong Coffee | Black Roast Rich & Dark Instant Coffee Powder | Make U...,grocery & gourmet foods,https://m.media-amazon.com/images/I/61hBQAOqb5L._AC_UL320_.jpg,799.0
"Red Label Natural Care Tea, with 5 Ayurvedic Ingredients, 250 g",grocery & gourmet foods,https://m.media-amazon.com/images/I/61K9t4AJTUL._AC_UL320_.jpg,150.0
"Amazon Brand Vedaka Premium Tea, 1 Kg",grocery & gourmet foods,https://m.media-amazon.com/images/I/61K7oGKhJJL._AC_UL320_.jpg,475.0
"Teabox Chamomile Green Tea for Stress Relief & Good Sleep, Made with 100% Whole Leaf & Natural Chamomile Flowers, 25 Silke...",grocery & gourmet foods,https://m.media-amazon.com/images/I/71A6UDaQLmL._AC_UL320_.jpg,272.0
"Tata Tea Chakra Gold Premium Tea, 500g",grocery & gourmet foods,https://m.media-amazon.com/images/I/61BxON-2YAL._AC_UL320_.jpg,390.0
Continental Malgudi Filter Coffee 500gm Pouch | (80% Coffee - 20% Chicory) | Traditional South Indian Filter Coffee Powder...,grocery & gourmet foods,https://m.media-amazon.com/images/I/71h-8qazCqL._AC_UL320_.jpg,285.0
"Paper Boat Swing Lush Lychee Juice, Litchi Drink Enriched with Vitamin D, No Gmos, 600 ml",grocery & gourmet foods,https://m.media-amazon.com/images/I/513G0nKsmuL._AC_UL320_.jpg,40.0
7 Up Soft Drink - 2.25L Bottle,grocery & gourmet foods,https://m.media-amazon.com/images/I/71diSDvt5RL._AC_UL320_.jpg,99.0
Continental STRONG Coffee Powder 1 Kg Bag ( 5 Pouches of 200g ),grocery & gourmet foods,https://m.media-amazon.com/images/I/51wTlRfWsEL._AC_UL320_.jpg,825.0
Fresh Tender Coconut large 1 piece (approx.1.6 kg),grocery & gourmet foods,https://m.media-amazon.com/images/I/41GaYvKtzRL._AC_UL320_.jpg,67.0
Real Activ 100% Tender Coconut Water with No Added Sugars or Artifical Flavours - 200ml ( Pack of 6),grocery & gourmet foods,https://m.media-amazon.com/images/I/81Evi-5y85L._AC_UL320_.jpg,312.0
"Raw Pressery Valencia Orange Juice, 1000 ml",grocery & gourmet foods,https://m.media-amazon.com/images/I/51VDkYCKxnL._AC_UL320_.jpg,330.0
"Red Label Tea 500 g Pack, Strong Chai from the Best Chosen Leaves, Rich in Healthy Flavonoids - Premium Powdered Black Tea",grocery & gourmet foods,https://m.media-amazon.com/images/I/51+iVkS0ZVL._AC_UL320_.jpg,265.0
"HERSHEY'S Hot Chocolate Drink Powder Mix, 250 g",grocery & gourmet foods,https://m.media-amazon.com/images/I/61QSifsOnpL._AC_UL320_.jpg,215.0
"Complan Nutrition and Health Drink Creamy Classic 1kg, Refill pack, with power of 100% Milk Protein and contrains 34 Vital...",grocery & gourmet foods,https://m.media-amazon.com/images/I/71i3TdsNP+L._AC_UL320_.jpg,470.0
"NESTEA Instant Iced Tea, Lemon Flavour – 750 gm",grocery & gourmet foods,https://m.media-amazon.com/images/I/71FlMdwR7pL._AC_UL320_.jpg,350.0
"Amazon Brand – Vedaka Green Tea, Lemon and Honey, 100 Bags",grocery & gourmet foods,https://m.media-amazon.com/images/I/518iT3iOmxL._AC_UL320_.jpg,450.0
"HERBALIFE NUTRITION Herbalife Afresh Energy Drink Mix (Ginger, 50 g) Pack of 2",grocery & gourmet foods,https://m.media-amazon.com/images/I/61rt3uhXvjL._AC_UL320_.jpg,1696.0
"NESCAFÉ 3 In 1 Original Soluble Ground Coffee Beverage,30 Sachets Bag",grocery & gourmet foods,https://m.media-amazon.com/images/I/61MJss+QE6L._AC_UL320_.jpg,999.0
"Mala's, Whole Crush 750ml, Strawberry, 750 millilitre",grocery & gourmet foods,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71SNQP7r+EL._AC_UL320_.jpg,200.0
"Navchetan Danedar Tea, 1kg",grocery & gourmet foods,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61A6yXbRjNL._AC_UL320_.jpg,220.0
Levista Strong Instant Coffee (200 Gram Pouch),grocery & gourmet foods,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/710ENDb3JrL._AC_UL320_.jpg,390.0
Girnar Instant Premix Chai - Variety Pack (36 Sachets),grocery & gourmet foods,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61bLqr0uNsL._AC_UL320_.jpg,500.0
"Paper Boat Swing Slurpy Mango Juice, Enriched with Vitamin D, No Gmos, 600 ml",grocery & gourmet foods,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/51pf9FAB2oL._AC_UL320_.jpg,40.0
DiSano Natural Tender Coconut Water | No added Sugar or Flavour |200ml (Pack of 6),grocery & gourmet foods,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/81q3j49sR4L._AC_UL320_.jpg,300.0
"Taj Mahal South Tea 500 g Pack, Rich and Flavourful Chai - Premium Blend of Powdered Fresh Loose Tea Leaves",grocery & gourmet foods,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61F1rdVUddL._AC_UL320_.jpg,320.0
"Nescafe Sunrise Instant Ground Coffee - Chicory Mixture Jar, 200 g",grocery & gourmet foods,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/81iO3MinybL._AC_UL320_.jpg,425.0
Girnar Instant Premix With Ginger (36 Sachets),grocery & gourmet foods,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/51-JCXGYskL._AC_UL320_.jpg,495.0
Sleepy Owl Original Premium Instant Coffee | Instant Coffee Powder | 100% Arabica | Microground Technology | Ready in Seco...,grocery & gourmet foods,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/51aQo+EFWKL._AC_UL320_.jpg,495.0
All in One Herbal Lemon Green Tea Sugar -Less 25 Tea Bags,grocery & gourmet foods,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/81Uqn0zDLhL._AC_UL320_.jpg,190.0
Herbalife 2 Afresh Energy Drink Mix | Lemon and Elaichi Flavor | Each 50 GM Men and Women in Pack of 2,grocery & gourmet foods,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61UPki8fzyL._AC_UL320_.jpg,1696.0
"Coca-Cola Original Taste Soft Drink PET Bottle, 2.25 L",grocery & gourmet foods,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/81kx2IPueEL._AC_UL320_.jpg,99.0
Girnar Instant Premix With Ginger (10 Sachets),grocery & gourmet foods,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/51tdD8WvbBL._AC_UL320_.jpg,150.0
Chaayos Instant Tea Premix - Regular Sugar - Masala Flavour (30 Sachets) 30 x 22g =660g| Masala Tea Powder | Masala Chai |...,grocery & gourmet foods,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/713eI54knzL._AC_UL320_.jpg,750.0
Tetley Long Leaf | Natural Lemon Flavoured Green Tea with Anti-Oxidants | Green Tea | 100g,grocery & gourmet foods,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61H0Mx6UMQL._AC_UL320_.jpg,150.0
"Davidoff Café Rich Aroma, Fine Aroma and Espresso 57 Instant Ground Coffee - Combo Pack Jar, 3 x 100 g",grocery & gourmet foods,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/81oT+OIuFKL._AC_UL320_.jpg,1950.0
"Women's Horlicks Plus Caramel Jar, 400 g",grocery & gourmet foods,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/51rTTp8PhfL._AC_UL320_.jpg,345.0
Bevzilla Dark Wish Dark Roast Strong Coffee Powder - 48 Sachets Box | Black Roast Rich & Dark Instant Coffee Powder | Stro...,grocery & gourmet foods,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/710SyJ1x4QL._AC_UL320_.jpg,499.0
"NESCAFÉ GOLD Café at Home Pack, 25g Each x 10 Sachets, 250 g",grocery & gourmet foods,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/81e9aMs3mjL._AC_UL320_.jpg,350.0
Organic India Tulsi Sweet Rose Tea - 25 Infusion Bags,grocery & gourmet foods,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/81K16Y9o39L._AC_UL320_.jpg,168.0
Goodricke Roasted Organic Darjeeling Tea - 250gm | 100% Organic Whole Leaf Tea | Darjeeling Long Leaf Tea | Flavoury Golde...,grocery & gourmet foods,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61pf3Gwtx8L._AC_UL320_.jpg,300.0
"Wagh Bakri Ginger Instant Tea Premix, 140g",grocery & gourmet foods,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/51fB99AlfZL._AC_UL320_.jpg,150.0
"KLF Coconad Instant Coconut Milk Powder, 1kg",grocery & gourmet foods,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61c6GnyKXiL._AC_UL320_.jpg,850.0
Society Premium Leaf Tea 1Kg Pouch,grocery & gourmet foods,https://m.media-amazon.com/images/I/71+NM33gHWL._AC_UL320_.jpg,590.0
"Complan Nutrition and Health Drink Kesar Badam, 500gm (Jar)",grocery & gourmet foods,https://m.media-amazon.com/images/I/61xyJwNoS1L._AC_UL320_.jpg,335.0
"Schweppes Indian Tonic Water | Contains Quinine | Refreshing Mixer with Bitter Taste | Recyclable Can, 300 ml (Pack of 6)",grocery & gourmet foods,https://m.media-amazon.com/images/I/71sxkU-v3IL._AC_UL320_.jpg,300.0
"TEACURRY Belly Fat Tea (1 Month Pack, 30 Tea Bags) - Helps with Belly Fat, Water Weight, Bloating",grocery & gourmet foods,https://m.media-amazon.com/images/I/61MtZvpdXXL._AC_UL320_.jpg,799.0
