name,main_category,image,actual_price
"Nutraj 100% Natural Dried Premium California Walnut Kernels, 500g (2 X 250g) | Pure Without Shell Walnut Kernels | Akhrot ...",grocery & gourmet foods,https://m.media-amazon.com/images/I/71f5UPOWDqL._AC_UL320_.jpg,998.0
"Cadbury Bournvita 5 Star Magic Health Drink, 750g Pouch",grocery & gourmet foods,https://m.media-amazon.com/images/I/614FIW5c6HL._AC_UL320_.jpg,353.0
Sugar Free Green Natural Stevia Jar(200 g),grocery & gourmet foods,https://m.media-amazon.com/images/I/61rBhkTJ6EL._AC_UL320_.jpg,170.0
"Daawat Pulav, Long Grains, Fluffy Basmati for finest Pulav, 1 Kg",grocery & gourmet foods,https://m.media-amazon.com/images/I/71UO6eXC1QL._AC_UL320_.jpg,139.0
Tata Tea Gold | Assam teas with Gently Rolled Aromatic Long Leaves | Rich & Aromatic Chai | Black Tea | 500g,grocery & gourmet foods,https://m.media-amazon.com/images/I/51kEujuYlpL._AC_UL320_.jpg,295.0
"Wagh Bakri Premium Leaf Tea, Poly Pack, 500g",grocery & gourmet foods,https://m.media-amazon.com/images/I/61kTHO+UX9L._AC_UL320_.jpg,290.0
"Dabur Vedic Tea - 500gm | Handpicked from Assam, Nilgiri & Darjeeling | Soulful Aroma & Rich Taste | 30+ Ayurvedic Herbs |...",grocery & gourmet foods,https://m.media-amazon.com/images/I/61DMPchFPLL._AC_UL320_.jpg,295.0
"Nescafe Classic Coffee Jar, 200 g with Free Red Mug and Scoop Spoon",grocery & gourmet foods,https://m.media-amazon.com/images/I/71ehfHfPCzL._AC_UL320_.jpg,640.0
BLUE TEA - Chamomile Flower Tea | Pure Whole Flower Buds of Chamomile || SLEEP TEA & STRESS RELIEF || Herbal Tea - Caffein...,grocery & gourmet foods,https://m.media-amazon.com/images/I/71qVgLGta9L._AC_UL320_.jpg,399.0
"Organic Tattva, Organic Wheat Dalia / Daliya, 500g",grocery & gourmet foods,https://m.media-amazon.com/images/I/71a5llM7MBL._AC_UL320_.jpg,55.0
"Mccain Chilli Garlic Potato Bites, 420 g Regular Pack",grocery & gourmet foods,https://m.media-amazon.com/images/I/816voyD8jiL._AC_UL320_.jpg,140.0
"Saffola Honey Gold, 100% Pure NMR Tested Honey, Made with Kashmir Honey, 1Kg",grocery & gourmet foods,https://m.media-amazon.com/images/I/61pVnleyBgL._AC_UL320_.jpg,570.0
"Red Label Natural Care Tea, Chai Made With 5 Ayurvedic Herbs, 1 Kg",grocery & gourmet foods,https://m.media-amazon.com/images/I/615F-HVtwEL._AC_UL320_.jpg,650.0
Kellogg's Chocos Variety Pack 168g | Breakfast Cereal for Kids,grocery & gourmet foods,https://m.media-amazon.com/images/I/71stDXSgbHL._AC_UL320_.jpg,70.0
"Dabur Amla Juice: Rich Source of Vitamin C and Antioxidants for Immunity boosting |Pure, Natural and 100% Ayurvedic Juice -1L",grocery & gourmet foods,https://m.media-amazon.com/images/I/71Dtf-ydPYL._AC_UL320_.jpg,235.0
"Catch Red Chilli Powder, 100g",grocery & gourmet foods,https://m.media-amazon.com/images/I/71qMRn40n9L._AC_UL320_.jpg,73.0
"Pedigree Dentastix Oral Care Dog Treat for Adult Large Breed (25 Kg+), Monthly Pack (28 Sticks) 1.08 Kg",grocery & gourmet foods,https://m.media-amazon.com/images/I/61oEmtyEMmL._AC_UL320_.jpg,1070.0
"Fresh Baby Orange Nagpur, 1kg",grocery & gourmet foods,https://m.media-amazon.com/images/I/71O-5pKLmzL._AC_UL320_.jpg,
"Britannia Milk Bikis Biscuits, 170.5g or 190.5g",grocery & gourmet foods,https://m.media-amazon.com/images/I/81kgnSr+3KL._AC_UL320_.jpg,25.0
"Nescafé Classic Instant Ground Coffee, 200g Stabilo, Bag",grocery & gourmet foods,https://m.media-amazon.com/images/I/71zjeDcWWXL._AC_UL320_.jpg,600.0
"Mother Dairy Pure Healthy Ghee, 1L",grocery & gourmet foods,https://m.media-amazon.com/images/I/91idhnLyJqL._AC_UL320_.jpg,845.0
"Cadbury Dairy Milk Crispello Chocolate Bar, 35 g",grocery & gourmet foods,https://m.media-amazon.com/images/I/615qkjsgv8L._AC_UL320_.jpg,30.0
"TE-A-ME Purify Green Tea, 100 Tea Bags | Green tea bags 100 pcs | Green Tea | Green Tea 100 Tea Bag Pack",grocery & gourmet foods,https://m.media-amazon.com/images/I/71fNICQ+fJL._AC_UL320_.jpg,325.0
"Hershey's Chocolate Syrup, 200g",grocery & gourmet foods,https://m.media-amazon.com/images/I/71Wh7SUgUIL._AC_UL320_.jpg,95.0
"Parle Monaco Classic, 400g",grocery & gourmet foods,https://m.media-amazon.com/images/I/7127Vty6kZL._AC_UL320_.jpg,80.0
"Tata Tea Premium Teaveda | Premium Assam Tea Leaves | With Goodness of Time-tested Indian Ingredients -Tulsi, Elaichi, Gin...",grocery & gourmet foods,https://m.media-amazon.com/images/I/619o61uLbgL._AC_UL320_.jpg,145.0
"Nestlé NAN PRO 4 Follow-Up Formula Powder - After 18 months, Up to 24 months, Stage 4, 400g Bag-In-Box Pack",grocery & gourmet foods,https://m.media-amazon.com/images/I/71axZ7z9LhL._AC_UL320_.jpg,740.0
Dabur Hommade Lemoneez- Goodness of 33 lemons - 250 ml,grocery & gourmet foods,https://m.media-amazon.com/images/I/71cdjcxCeAL._AC_UL320_.jpg,80.0
"Fresh Organic Ginger, 100g",grocery & gourmet foods,https://m.media-amazon.com/images/I/61SCxbFGpWL._AC_UL320_.jpg,22.0
"More Bengal Gram Dal - Roasted, 500g (Loose)",grocery & gourmet foods,https://m.media-amazon.com/images/I/71INJynix0L._AC_UL320_.jpg,150.0
Saffola Active Refined Oil|Blend of Rice Bran Oil & Soyabean Oil|Cooking Oil|Pro Weight Watchers Edible Oil 5 litre Jar,grocery & gourmet foods,https://m.media-amazon.com/images/I/61fL35+n7TL._AC_UL320_.jpg,955.0
Herbalife Nutrition Natural Tulsi Afresh Energy Drink Mix,grocery & gourmet foods,https://m.media-amazon.com/images/I/511W3uA6yzL._AC_UL320_.jpg,848.0
"Thums Up Soft Drink PET Bottle, 2.25 L",grocery & gourmet foods,https://m.media-amazon.com/images/I/61tiR5teCjL._AC_UL320_.jpg,85.0
"Tata Sampann Chaat Masala with Natural Oils, Crafted by Chef Sanjeev Kapoor, 100g",grocery & gourmet foods,https://m.media-amazon.com/images/I/619Dntj9dJL._AC_UL320_.jpg,80.0
"Brooke Bond, Red Label, 100g",grocery & gourmet foods,https://m.media-amazon.com/images/I/51+iVkS0ZVL._AC_UL320_.jpg,30.0
Goodricke Roasted Darjeeling Tea - 250 gm | Whole Leaf Tea | 100% Pure & Original Darjeeling Long Leaf Tea | Flavoury Gold...,grocery & gourmet foods,https://m.media-amazon.com/images/I/61jbZ93NhML._AC_UL320_.jpg,280.0
Glucon-D Instant Energy Health Drink Tangy Orange - 450Gm Refill,grocery & gourmet foods,https://m.media-amazon.com/images/I/71Qgc4wDwVL._AC_UL320_.jpg,173.0
"Sunfeast Dark Fantasy Bourbon Classic With Real Chocolate, 100g",grocery & gourmet foods,https://m.media-amazon.com/images/I/71lmk-WE2OL._AC_UL320_.jpg,40.0
"Amul Chocomini Chocolate, 250 g",grocery & gourmet foods,https://m.media-amazon.com/images/I/71KZQkANkFS._AC_UL320_.jpg,140.0
"Sunfeast Dark Fantasy Choco Nut Fills, 75g | Original Filled Cookies with Nuts",grocery & gourmet foods,https://m.media-amazon.com/images/I/71PFNfK7zhL._AC_UL320_.jpg,40.0
"UPF Healthy Brown Eggs, 6 Pieces| Veg Fed| Non-Fertile Eggs",grocery & gourmet foods,https://m.media-amazon.com/images/I/41dqMrWXmLL._AC_UL320_.jpg,89.0
"Cup Noodles Mazedaar Masala, 70g",grocery & gourmet foods,https://m.media-amazon.com/images/I/91aWJn2W5eL._AC_UL320_.jpg,50.0
"Aashirvaad Sugar Release Control Atta, 5kg Pack, Low GI Atta",grocery & gourmet foods,https://m.media-amazon.com/images/I/81kcZpNNKNS._AC_UL320_.jpg,395.0
"Urban Platter Pink Himalayan Rock Salt Powder Jar, 1.5kg ( Additive-Free, Gourmet Grade, Signature Quality)",grocery & gourmet foods,https://m.media-amazon.com/images/I/71SpDzVLJZL._AC_UL320_.jpg,400.0
"Aashirvaad Nature’s Superfoods Gluten Free Flour, 1kg Pack, Super Nutritious Flour",grocery & gourmet foods,https://m.media-amazon.com/images/I/819vYkT-VHL._AC_UL320_.jpg,210.0
veeba pasta pizza sauce 280g,grocery & gourmet foods,https://m.media-amazon.com/images/I/71eY2jA-pHL._AC_UL320_.jpg,89.0
